,Bank Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,Bank of China,136.81,147.11,171.01,1.65
1,China Construction Bank,139.82,150.34,174.77,1.69
2,Morgan Stanley,140.83,151.43,176.04,1.7
3,HSBC Holdings PLC,148.9,160.11,186.12,1.8
4,Wells Fargo,155.87,167.6,194.84,1.88
5,HDFC Bank,157.91,169.8,197.39,1.9
6,Agricultural Bank of China,160.68,172.77,200.85,1.94
7,Industrial and Commercial Bank of China,194.56,209.2,243.2,2.35
8,Bank of America,231.52,248.95,289.4,2.79
9,JPMorgan Chase,432.92,465.51,541.15,5.22
